"ca","k","MAP","wL","fwL","averA","E/MAP","averm","averB","averw","averci/ca"
800,0.025,1900,0.167906621621788,0.181162930307007,17.6428910927126,0.636700857197381,1.22275539307836,16.4201356996342,0.484223471205472,0.656123575423508
400,0.1,1900,0.176439613954222,0.0189963078372572,13.0053719975081,0.832829736690415,0.873568212083201,12.1318037854249,0.634873627389456,0.791542630577221
800,0.1,1900,0.167906621621788,0.0103213023404701,21.93368232061,0.833077793133182,0.976022867165753,20.9576594534442,0.633758005709894,0.823227702271879
400,0.025,2200,0.176439613954222,0.19055485109262,10.5811694721843,0.570204617715796,0.889093592594851,9.69207587958949,0.51258646922031,0.643295959140364
800,0.025,2200,0.167906621621788,0.162657822486979,18.1341723119536,0.571646273570342,1.17118619058212,16.9629861213715,0.509786767953008,0.675637087520515
400,0.1,2200,0.176439613954222,0.00992463201940503,13.2146670575842,0.74314937912646,0.784011495144223,12.4306555624399,0.70747719127744,0.804854202627578
800,0.1,2200,0.167906621621788,0.00533809236374388,22.1976757565339,0.743258328723568,0.837436713657472,21.3602390428765,0.706934983124061,0.835577204871055
400,0.025,2500,0.176439613954222,0.174840211937789,10.8159926606284,0.515946289691629,0.873613101421287,9.94237955920709,0.5320089970951,0.657733824819061
800,0.025,2500,0.167906621621788,0.149025197178011,18.4965845579636,0.51725248861396,1.13268938980811,17.3638951681555,0.529521306890206,0.69004154598272
400,0.1,2500,0.176439613954222,0.00571194937970152,13.3145543594264,0.664422654194722,0.739829771350746,12.5747245880756,0.753985393175784,0.811226700857476
800,0.1,2500,0.167906621621788,0.00304744694239135,22.3223152067686,0.664434351114844,0.770353824305886,21.5519613824627,0.753722209143629,0.84145651565086
400,0.025,2800,0.176439613954222,0.162852633435372,10.9953211088882,0.470356274120662,0.861603697993944,10.1337174108943,0.547361138504761,0.668761355827331
800,0.025,2800,0.167906621621788,0.138640323599668,18.7729394346796,0.471540946951907,1.10307216904655,17.6698672656331,0.545113581570857,0.701030852933339
400,0.1,2800,0.176439613954222,0.00359125169307231,13.3660135723812,0.598207816960506,0.716476150001678,12.6495374223795,0.784686709578841,0.814518047355826
800,0.1,2800,0.167906621621788,0.00190354494075599,22.3859570418756,0.598162688875889,0.735432959460599,21.650524082415,0.784561035079576,0.844479273246588
