"d","h3","wL","P50","pxmin","pxgs50","slope"
15,25,0.131399453238506,-13.0556311881581,-12.8539004408412,-6.48279808637544,0.860561337833506
1,100,0.329133891119434,-0.870375412543876,-0.294153119961359,-0.279475555396501,0.417680683904947
2,100,0.264552884698791,-1.74075082508775,-0.710140699036998,-0.645435036992599,0.569735770500136
3,100,0.234566885026398,-2.61112623763163,-1.15162161828177,-1.00246084348024,0.636405853615533
4,100,0.216027606470773,-3.4815016501755,-1.60511094141796,-1.34217114208178,0.674605397282341
5,100,0.20297645084482,-4.35187706271938,-2.06596675486009,-1.66537884893298,0.699912767896889
6,100,0.193076189890791,-5.22225247526326,-2.53194842496805,-1.97421634034197,0.718226850410946
7,100,0.185192091966882,-6.09262788780713,-3.0017694116437,-2.27072445740062,0.732280859428917
8,100,0.178695459174189,-6.96300330035101,-3.47460884068251,-2.55661293983308,0.743522626968074
9,100,0.173204935364911,-7.83337871289488,-3.94990357920252,-2.83327596711715,0.75279603300995
10,100,0.168473359491756,-8.70375412543876,-4.42724791212377,-3.10184419485169,0.760628797136823
11,100,0.164332225928277,-9.57412953798264,-4.90633715806666,-3.36324146039184,0.767369412019405
12,100,0.160661966296206,-10.4445049505265,-5.38693602130247,-3.61823120571017,0.773258591078304
13,100,0.157374942013061,-11.3148803630704,-5.86885772414615,-3.86745050593451,0.778468304954804
14,100,0.154405172566947,-12.1852557756143,-6.35195145334398,-4.1114351624447,0.783125190842317
15,100,0.151701850417523,-13.0556311881581,-6.83609299486313,-4.35064391336122,0.787324973684193
