d,ca,k,MAP,wL,fwL,averA,E/MAP,averm,averB,averw,averci/ca
4.602,400,0.025,1300,0.164053252,0.376354479,8.217199965,0.841851072,0.905244633,7.311955333,0.348276163,0.501145265
4.248,400,0.025,1300,0.167721793,0.349077442,8.511661115,0.831051483,0.928033794,7.58362732,0.365564006,0.518374352
3.894,400,0.025,1300,0.171818166,0.319058829,8.826659448,0.818084983,0.951912334,7.874747113,0.38558805,0.536706588
3.54,400,0.025,1300,0.176439614,0.285987414,9.161363246,0.802272661,0.976753559,8.184609687,0.409047729,0.556053357
3.186,400,0.025,1300,0.181718539,0.249594136,9.512306945,0.782647211,1.002309715,8.50999723,0.436878496,0.576154929
2.832,400,0.025,1300,0.187841081,0.209754165,9.870897812,0.757801027,1.028165968,8.842731844,0.470337088,0.596427032
2.478,400,0.025,1300,0.195079461,0.16670124,10.21864939,0.725654599,1.053719223,9.164930164,0.511098445,0.615672738
2.124,400,0.025,1300,0.203852183,0.121448517,10.51806982,0.683107594,1.078288858,9.439780967,0.561309648,0.631542729
1.77,400,0.025,1300,0.214846077,0.076540977,10.69580454,0.625625074,1.101663361,9.594141178,0.623407332,0.639568451
1.416,400,0.025,1300,0.229293694,0.03704464,10.61434695,0.547084704,1.125666068,9.488680881,0.699126409,0.631638609
1.062,400,0.025,1300,0.249714876,0.010394657,10.03575874,0.44117394,1.156186436,8.879572302,0.786533861,0.594454901
0.708,400,0.025,1300,0.282470866,0.000733827,8.589270922,0.306473092,1.191334414,7.397936507,0.875220077,0.509858673
0.354,400,0.025,1300,0.351973956,2.11E-07,5.58507138,0.150760797,1.110976187,4.474095193,0.949449063,0.352949442
5.31,400,0.1,1300,0.157723103,0.207813724,10.18369679,0.997438757,1.716019599,8.467677192,0.260909535,0.619490691
4.956,400,0.1,1300,0.160739207,0.184891707,10.45034902,0.99647943,1.681458689,8.768890334,0.275931051,0.635316208
4.602,400,0.1,1300,0.164053252,0.160596319,10.73324561,0.99499265,1.635472576,9.097773034,0.294460129,0.652074645
4.248,400,0.1,1300,0.167721793,0.135010813,11.03163889,0.992591756,1.575184592,9.456454296,0.317883418,0.669705975
3.894,400,0.1,1300,0.171818166,0.108397693,11.34239406,0.988544693,1.497369286,9.845024777,0.348304447,0.687998507
3.54,400,0.1,1300,0.176439614,0.081351348,11.65726141,0.981411459,1.399184941,10.25807647,0.388896448,0.706414408
3.186,400,0.1,1300,0.181718539,0.055050344,11.95737632,0.968342429,1.28036405,10.67701227,0.444185165,0.723745451
2.832,400,0.1,1300,0.187841081,0.031555994,12.20357079,0.943904077,1.148362813,11.05520798,0.519443647,0.737501729
2.478,400,0.1,1300,0.195079461,0.013739915,12.32618908,0.899210481,1.026474256,11.29971482,0.616948263,0.743280787
2.124,400,0.1,1300,0.203852183,0.003782068,12.2358697,0.824689726,0.954179977,11.28168972,0.727412503,0.735479389
1.77,400,0.1,1300,0.214846077,0.000490682,11.87621735,0.719165544,0.958112627,10.91810472,0.826992953,0.710707099
1.416,400,0.1,1300,0.229293694,1.82E-05,11.23849373,0.592974918,1.020406712,10.21808702,0.897056428,0.668918964
1.062,400,0.1,1300,0.249714876,6.52E-08,10.24976208,0.455533339,1.105448745,9.144313332,0.940475774,0.607001737
0.708,400,0.1,1300,0.282470866,8.67E-13,8.626752487,0.308729009,1.178347828,7.448404659,0.968196991,0.511948366
0.354,400,0.1,1300,0.351973956,3.22E-27,5.592849715,0.151058248,1.108598527,4.484251189,0.987326139,0.353327354
5.31,400,0.025,1600,0.157723103,0.376374691,8.396147016,0.781709209,0.833055104,7.563091911,0.358009415,0.513818424
4.956,400,0.025,1600,0.160739207,0.353670386,8.650949556,0.771772739,0.851874566,7.799074991,0.372643784,0.528796214
4.602,400,0.025,1600,0.164053252,0.329054797,8.921130831,0.760314639,0.871721532,8.0494093,0.389134226,0.544606086
