"VPD","ca","k","MAP","wL","fwL","averA","E/MAP","averm","averB","averw","averci/ca"
0.024,400,0.025,2200,0.178121027150536,0.205629175331623,10.1004489988792,0.577436161258668,0.914724061929215,9.18572493694994,0.504070921282635,0.611412580814533
0.016,400,0.1,2200,0.174506849093853,0.00645983212684959,13.6432052349384,0.720007716648305,0.685638599828057,12.9575666351103,0.730159703437111,0.835391995145528
0.02,400,0.1,2200,0.176439613954222,0.00992463201940503,13.2146670575842,0.74314937912646,0.784011495144223,12.4306555624399,0.70747719127744,0.804854202627578
0.024,400,0.1,2200,0.178121027150536,0.0134477373634256,12.8088326852367,0.760183072744757,0.865250953495459,11.9435817317412,0.689756263048324,0.776503079267629
0.016,400,0.025,2500,0.174506849093853,0.156715230932791,11.3745940965059,0.506187888668856,0.835648329826687,10.5389457666792,0.54373181811416,0.695185169011682
0.02,400,0.025,2500,0.176439613954222,0.174840211937789,10.8159926606284,0.515946289691629,0.873613101421287,9.94237955920709,0.5320089970951,0.657733824819061
0.024,400,0.025,2500,0.178121027150536,0.189152367770916,10.3399182956901,0.523077115382182,0.903123412550007,9.43679488314008,0.523436454817248,0.626044294312625
0.016,400,0.1,2500,0.174506849093853,0.00363515539215124,13.7149949923655,0.641635311270419,0.64783667896947,13.067158313396,0.772626300698229,0.840046670999629
0.02,400,0.1,2500,0.176439613954222,0.00571194937970152,13.3145543594264,0.664422654194722,0.739829771350746,12.5747245880756,0.753985393175784,0.811226700857476
0.024,400,0.1,2500,0.178121027150536,0.00787921213255567,12.9340232361435,0.681559286455839,0.817303704521698,12.1167195316218,0.73918665146258,0.784385151421729
0.016,400,0.025,2800,0.174506849093853,0.145581655614375,11.5461818234173,0.460913917727539,0.820224458827141,10.7259573645902,0.559037171758011,0.705812900278719
0.02,400,0.025,2800,0.176439613954222,0.162852633435372,10.9953211088882,0.470356274120662,0.861603697993944,10.1337174108943,0.547361138504761,0.668761355827331
