"b","pe","ca","k","MAP","wL","fwL","averA","E/MAP","averm","averB","averw","averci/ca"
4.74,-0.00138,400,0.025,1600,0.195621338554875,0.244761791834508,9.76674786857719,0.707274998636875,0.947917224578028,8.81883064399916,0.46515101425436,0.593219340641721
4.74,-0.00138,400,0.1,1600,0.195621338554875,0.0394669624546948,12.5408684862151,0.919258287991198,1.06942191924324,11.4714465669719,0.536514417138336,0.762089935446476
4.74,-0.00138,400,0.025,1900,0.195621338554875,0.215256423956076,10.2067028808891,0.630205674088298,0.91971811770269,9.2869847631864,0.496963136163988,0.620257676812305
4.74,-0.00138,400,0.1,1900,0.195621338554875,0.0194326233460479,12.9910724455695,0.830742489709381,0.882801902490504,12.108270543079,0.641327906853239,0.790622714557011
4.74,-0.00138,400,0.025,2200,0.195621338554875,0.194268444493122,10.5202908377501,0.565692223718882,0.899009584650618,9.62128125309952,0.520965260865624,0.639535221796323
4.74,-0.00138,400,0.1,2200,0.195621338554875,0.0103436326621724,13.202410080941,0.741622600142047,0.791139774363079,12.4112703065779,0.711076757295238,0.804067195171248
4.74,-0.00138,400,0.025,2500,0.195621338554875,0.178746781924593,10.7525463742585,0.511830207834025,0.883347126103972,9.86919924815457,0.539518159688387,0.653815819921101
4.74,-0.00138,400,0.1,2500,0.195621338554875,0.00605094766957064,13.3049779315046,0.663368991160653,0.74518414180312,12.5597937897015,0.756090203033734,0.810611759601091
4.74,-0.00138,400,0.025,2800,0.195621338554875,0.166882815475409,10.9302693806639,0.466601010804418,0.871174035478512,10.0590953451853,0.554196566426828,0.664745089735475
4.74,-0.00138,400,0.1,2800,0.195621338554875,0.00385681207430123,13.3586171430121,0.597477166442587,0.72054265733846,12.6380744856737,0.785999131472599,0.814042939595115
4.74,-0.00138,400,0.025,3100,0.195621338554875,0.157561083785706,11.070032615705,0.428289003288872,0.861484957854887,10.2085476578501,0.566053652092692,0.673341032472259
4.74,-0.00138,400,0.1,3100,0.195621338554875,0.00263994284572788,13.3889562236274,0.542380346262813,0.70631942254048,12.682636801087,0.806752793071755,0.81598787697546
4.74,-0.00138,400,0.025,3400,0.195621338554875,0.150065888930517,11.1824901994547,0.395529167749232,0.853613561025545,10.3288766384292,0.57580704439797,0.680258264810446
4.74,-0.00138,400,0.1,3400,0.195621338554875,0.00191425274870875,13.4073666633585,0.496067284776289,0.69754221859735,12.7098244447611,0.821772076410635,0.817170359424949
4.74,-0.00138,400,0.025,3700,0.195621338554875,0.143921102647801,11.2747406109132,0.3672574981241,0.847105657937089,10.4276349529761,0.583957120025999,0.685933025800734
4.74,-0.00138,400,0.1,3700,0.195621338554875,0.00145400641872078,13.4192257984561,0.45677935068014,0.691807129304027,12.727418669152,0.833046645508356,0.817933351146471
4.74,-0.00138,400,0.025,4000,0.195621338554875,0.138799620238646,11.3516664402267,0.342647077486262,0.841643242373531,10.5100231978532,0.59086095815157,0.690665426119848
4.74,-0.00138,400,0.1,4000,0.195621338554875,0.00114669158776297,13.4272561731069,0.423116998152251,0.687875534397146,12.7393806387097,0.841775162035059,0.818450695522082
11.55,-0.00458,400,0.025,100,0.56795199326085,0.814460252247325,1.7522287957134,1.000000023845,0.961155585046203,0.791073210667197,0.571086538391586,0.104357501577861
11.55,-0.00458,400,0.1,100,0.56795199326085,0.735518948765636,2.18270381008097,0.999999970411346,1.67756881554267,0.505134994538303,0.569435598928798,0.130190079696146
11.55,-0.00458,400,0.025,400,0.56795199326085,0.593164162942529,4.59496383896535,0.980765783619762,1.26464702415353,3.33031681481182,0.598559211896497,0.276071764976616
11.55,-0.00458,400,0.1,400,0.56795199326085,0.38498482300873,6.2115133858702,0.999999621038632,2.75615336308789,3.45536002278231,0.583947898374185,0.370400948322403
11.55,-0.00458,400,0.025,700,0.56795199326085,0.475461030625761,6.27139333794182,0.872575072090311,1.23569175552044,5.03570158242138,0.633208206334732,0.378417486523205
11.55,-0.00458,400,0.1,700,0.56795199326085,0.230272237392414,8.61567337352294,0.998812147275106,2.49090871872286,6.12476465480008,0.612570521241119,0.516689073983563
11.55,-0.00458,400,0.025,1000,0.56795199326085,0.408829617543073,7.2432406494636,0.744978118771951,1.19393911452046,6.04930153494315,0.658511363108944,0.43791500823942
11.55,-0.00458,400,0.1,1000,0.56795199326085,0.139874997432468,10.2895890939293,0.978822287040967,2.02262053701966,8.26696855690961,0.65866241505301,0.620259023522756
11.55,-0.00458,400,0.025,1300,0.56795199326085,0.368384102314081,7.83890854654594,0.6378444613828,1.16230291442215,6.67660563212379,0.675697979792646,0.474425427888781
11.55,-0.00458,400,0.1,1300,0.56795199326085,0.0863868767757316,11.3905676813997,0.919309345137334,1.62210952509563,9.76845815630402,0.709957650364682,0.689104909352118
11.55,-0.00458,400,0.025,1600,0.56795199326085,0.341832676350887,8.23200354338533,0.553437454906997,1.13930548019126,7.09269806319407,0.687717396869137,0.498535051076731
11.55,-0.00458,400,0.1,1600,0.56795199326085,0.0562744670526813,12.0520939575546,0.836097481472087,1.35141161377133,10.7006823437833,0.752631308671971,0.730743789566014
11.55,-0.00458,400,0.025,1900,0.56795199326085,0.323254888677834,8.50795403322218,0.48702482418366,1.12223689203943,7.38571714118275,0.696476842210663,0.515466782182419
11.55,-0.00458,400,0.1,1900,0.56795199326085,0.0392282051701455,12.4432974018281,0.751227100883529,1.18041990558088,11.2628774962472,0.784072411218362,0.755475732916917
11.55,-0.00458,400,0.025,2200,0.56795199326085,0.309598508715037,8.71126167469118,0.434031910353748,1.10919647988636,7.60206519480482,0.703101925780982,0.527944823218564
11.55,-0.00458,400,0.1,2200,0.56795199326085,0.0291204025165765,12.6827360973223,0.6747858217934,1.07121332384912,11.6115227734732,0.806668073577752,0.770661581204025
11.55,-0.00458,400,0.025,2500,0.56795199326085,0.299166895601058,8.86681744640538,0.391020859661391,1.09896020917407,7.76785723723131,0.708270424588086,0.537494060683106
11.55,-0.00458,400,0.1,2500,0.56795199326085,0.0227724453468089,12.8368156909952,0.60901057671214,0.998797519228569,11.8380181717666,0.823121888193175,0.780457629194244
11.55,-0.00458,400,0.025,2800,0.56795199326085,0.290952773026973,8.98946042249385,0.355532625096322,1.09073461942747,7.89872580306638,0.71240692096797,0.545024044262912
11.55,-0.00458,400,0.1,2800,0.56795199326085,0.0185622046930667,12.941014215523,0.553169152635263,0.948713047479646,11.9923011680433,0.835403241455213,0.787095252327987
