h3,ca,k,MAP,wL,fwL,averA,E/MAP,averm,averB,averw,averci/ca
10,400,0.1,1300,0.176439614,0.081351348,11.65726141,0.981411459,1.399184941,10.25807647,0.388896448,0.706414408
15,400,0.1,1300,0.18317042,0.06628576,11.90443063,0.967219235,1.341561777,10.56286886,0.447606786,0.720515121
20,400,0.1,1300,0.188598461,0.050124049,12.08077918,0.950391142,1.281803902,10.79897527,0.500882953,0.730400334
25,400,0.1,1300,0.193033568,0.037225342,12.19299278,0.931947982,1.235214871,10.95777791,0.54834741,0.736435415
30,400,0.1,1300,0.196765875,0.02758964,12.25602652,0.91273596,1.201293317,11.0547332,0.590128751,0.73953579
35,400,0.1,1300,0.199989441,0.020523131,12.28360845,0.893396074,1.177865641,11.10574281,0.62662451,0.740533805
40,400,0.1,1300,0.202830779,0.015359934,12.28629603,0.874371051,1.162753678,11.12354235,0.65836303,0.740069891
45,400,0.1,1300,0.205375054,0.011578628,12.27178467,0.855947938,1.154056797,11.11772787,0.685921207,0.738607862
50,400,0.1,1300,0.207681864,0.00879524,12.24557494,0.838293975,1.150227642,11.0953473,0.709861062,0.736478299
100,400,0.1,1300,0.22365027,0.995624981,0.044085424,0.999980972,0.017372449,0.026712975,0.223897868,0.002617192
1,400,0.025,1600,0.158186003,0.99647783,0.026007753,0.909129895,0.002346011,0.023661742,0.15855334,0.001697039
5,400,0.025,1600,0.168266695,0.254933506,9.446133543,0.744059781,0.821707758,8.624425784,0.412300935,0.576273846
10,400,0.025,1600,0.176439614,0.241853785,9.816625215,0.712500613,0.937584459,8.879040756,0.454089405,0.596305841
15,400,0.025,1600,0.18317042,0.217309778,10.08496557,0.688060983,0.989554677,9.095410894,0.485245964,0.611234176
20,400,0.025,1600,0.188598461,0.195122836,10.2841989,0.668047441,1.029667087,9.254531809,0.509900681,0.622200124
25,400,0.025,1600,0.193033568,0.176465011,10.43415704,0.651035654,1.063847389,9.370309655,0.530251404,0.630324726
30,400,0.025,1600,0.196765875,0.160802958,10.548718,0.636193066,1.093478964,9.455239041,0.547569126,0.636419869
35,400,0.025,1600,0.199989441,0.147511281,10.63736578,0.622999836,1.119465041,9.517900737,0.562635328,0.641039267
40,400,0.025,1600,0.202830779,0.136091861,10.70657136,0.611107819,1.142503236,9.564068122,0.575960592,0.644558442
45,400,0.025,1600,0.205375054,0.126169109,10.76085758,0.600273104,1.163132062,9.597725513,0.587897596,0.647239091
50,400,0.025,1600,0.207681864,0.11746089,10.80346301,0.590316385,1.181767992,9.621695015,0.598699836,0.649267238
100,400,0.025,1600,0.22365027,0.996314636,0.040871712,0.890202635,0.008483944,0.032387769,0.224470997,0.002436035
1,400,0.1,1600,0.158186003,0.990454204,0.045947684,0.999931483,0.007849463,0.038098221,0.158391431,0.003219228
5,400,0.1,1600,0.168266695,0.041314187,12.29288424,0.958030035,1.013478212,11.27940602,0.433990321,0.749097506
10,400,0.1,1600,0.176439614,0.039304606,12.55253477,0.921516275,1.058635461,11.49389931,0.525194985,0.762850293
15,400,0.1,1600,0.18317042,0.027324134,12.67142571,0.883986617,1.027027157,11.64439855,0.59666812,0.768758179
20,400,0.1,1600,0.188598461,0.018077125,12.70539696,0.848573346,1.009250495,11.69614647,0.651712766,0.769636003
25,400,0.1,1600,0.193033568,0.012011111,12.68996626,0.816314686,1.005323346,11.68464291,0.69437121,0.767633452
30,400,0.1,1600,0.196765875,0.008116934,12.64764903,0.787333492,1.01009253,11.6375565,0.727872388,0.764113294
35,400,0.1,1600,0.199989441,0.005592528,12.59149118,0.761398039,1.019938262,11.57155292,0.754592957,0.75985536
40,400,0.1,1600,0.202830779,0.003926829,12.5287954,0.738163406,1.032624636,11.49617076,0.776239055,0.755289496
45,400,0.1,1600,0.205375054,0.002806213,12.46362728,0.717275973,1.046777421,11.41684986,0.794037193,0.750650141
50,400,0.1,1600,0.207681864,0.002037944,12.3982377,0.698412696,1.061567833,11.33666986,0.808875257,0.74606327
100,400,0.1,1600,0.22365027,0.994843157,0.0527881,0.999853264,0.019030009,0.033758091,0.224010642,0.00313545
1,400,0.025,1900,0.158186003,0.996296763,0.028472579,0.867275818,0.002394502,0.026078078,0.158628964,0.00184844
